date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:01:38	5199/5199	---M--	200	added ('OK')	image/jpeg	etag:%22144f-4e56bf2090260%22	http://edwardbartonandthebabymen.com/img/greendot.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/greendot.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:41	12618/12618	---M--	200	added ('OK')	image/jpeg	etag:%22314a-4e5e2092c8abc%22	http://edwardbartonandthebabymen.com/img/tobuysongs.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/tobuysongs.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:44	13956/13956	---M--	200	added ('OK')	image/jpeg	etag:%223684-4e56bf91891dd%22	http://edwardbartonandthebabymen.com/img/vidcap.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/vidcap.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:48	21780/21780	---M--	200	added ('OK')	image/jpeg	etag:%225514-4e56bf913908e%22	http://edwardbartonandthebabymen.com/img/bins%20vid%20cover%20with%20green%20dot.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/bins%20vid%20cover%20with%20green%20dot.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:51	15821/15821	---M--	200	added ('OK')	image/jpeg	etag:%223dcd-4e56bf9322c8c%22	http://edwardbartonandthebabymen.com/img/girlvidcover%20with%20girl%20notlog%20greendot.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/girlvidcover%20with%20girl%20notlog%20greendot.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:55	332018/332018	---M--	200	added ('OK')	image/jpeg	etag:%22510f2-4e56bf670f115%22	http://edwardbartonandthebabymen.com/img/129_600.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/129_600.jpg	(from http://edwardbartonandthebabymen.com/page1.html)
19:01:55	18138/18138	---M--	200	added ('OK')	image/jpeg	etag:%2246da-4e56bf9159060%22	http://edwardbartonandthebabymen.com/img/drugsvidcover.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/drugsvidcover.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:58	17181/17181	---M--	200	added ('OK')	image/jpeg	etag:%22431d-4e56bf916b937%22	http://edwardbartonandthebabymen.com/img/girl%20vid%20cover.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/girl%20vid%20cover.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:01:58	17746/17746	---M--	200	added ('OK')	image/jpeg	etag:%224552-4e56bf854bcf1%22	http://edwardbartonandthebabymen.com/img/page1_07b.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/page1_07b.jpg	(from http://edwardbartonandthebabymen.com/page3.html)
19:01:58	1363/1363	---M-Z	200	added ('OK')	text/html	date:Thu,%2024%20Sep%202015%2018:01:28%20GMT	http://edwardbartonandthebabymen.com/page3a.html	C:/ebb/ebb/edwardbartonandthebabymen.com/page3a.html	(from http://edwardbartonandthebabymen.com/page3.html)
19:01:59	1690/1690	---M--	200	added ('OK')	image/jpeg	etag:%2269a-4e5e19c90ced3%22	http://edwardbartonandthebabymen.com/img/weexist_1.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/weexist_1.jpg	(from http://edwardbartonandthebabymen.com/page4.html)
19:02:00	3849/3849	---M--	200	added ('OK')	image/jpeg	etag:%22f09-4e5e19c94f93d%22	http://edwardbartonandthebabymen.com/img/weexist_2.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/weexist_2.jpg	(from http://edwardbartonandthebabymen.com/page4.html)
19:02:00	15940/15940	---M--	200	added ('OK')	image/jpeg	etag:%223e44-4e56bf2280bc0%22	http://edwardbartonandthebabymen.com/img/page1_08.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/page1_08.jpg	(from http://edwardbartonandthebabymen.com/page4.html)
19:02:46	586116/586116	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%228f184-4e56bf9124491%22	http://edwardbartonandthebabymen.com/img/lyricsgrey.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/lyricsgrey.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:02:47	590854/590854	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2290406-4e56bf902a48e%22	http://edwardbartonandthebabymen.com/img/barcodephoto.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/barcodephoto.jpg	(from http://edwardbartonandthebabymen.com/page6.html)
19:03:21	1251352/1251352	---M--	200	added ('OK')	image/jpeg	etag:%22131818-4e56bf895dcd8%22	http://edwardbartonandthebabymen.com/img/pg2.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/pg2.jpg	(from http://edwardbartonandthebabymen.com/page3.html)
19:03:28	108131/108131	---M--	200	added ('OK')	image/jpeg	etag:%221a663-4e56bf89ed1ca%22	http://edwardbartonandthebabymen.com/img/page3b._800.jpg	C:/ebb/ebb/edwardbartonandthebabymen.com/img/page3b._800.jpg	(from http://edwardbartonandthebabymen.com/page3a.html)
